name,url,address
Weston High School,https://www.greatschools.org/connecticut/weston/1048-Weston-High-School/,"115 School Road, Weston, CT, 06883
�
3.5
(15 Reviews)"
Staples High School,https://www.greatschools.org/connecticut/westport/1055-Staples-High-School/,"70 North Avenue, Westport, CT, 06880
�
4
(16 Reviews)"
Wilton High School,https://www.greatschools.org/connecticut/wilton/1071-Wilton-High-School/,"395 Danbury Road, Wilton, CT, 06897
�
3.7
(9 Reviews)"
Darien High School,https://www.greatschools.org/connecticut/darien/222-Darien-High-School/,"80 High School Lane, Darien, CT, 06820
�
4.2
(5 Reviews)"
Academy For Performing Arts,https://www.greatschools.org/new-jersey/scotch-plains/6902-Academy-For-Perform-Arts/,"1776 Raritan Road, Scotch Plains, NJ, 07076"
Infinity Institute,https://www.greatschools.org/new-jersey/jersey-city/7066-Infinity-Institute/,"193 Old Bergen Road, Jersey City, NJ, 07305
�
2
(17 Reviews)"
Thomas Edison EnergySmart Charter School,https://www.greatschools.org/new-jersey/somerset/7281-Thomas-Edison-EnergySmart-Charter-School/,"150 Pierce Street, Franklin Township, NJ, 08873
�
3
(2 Reviews)"
Dr. Ronald Mc Nair Academic High School,https://www.greatschools.org/new-jersey/jersey-city/878-Dr.-Ronald-Mc-Nair-Academy-High-School/,"123 Coles Street, Jersey City, NJ, 07302
�
2.9
(8 Reviews)"
Diana C. Lobosco Stem Academy,https://www.greatschools.org/new-jersey/wayne/9208-Diana-C.-Lobosco-Stem-Academy/,"45 Reinhardt Road, Wayne, NJ, 07470"
Harborfields High School,https://www.greatschools.org/new-york/greenlawn/1076-Harborfields-High-School/,"98 Taylor Avenue, Greenlawn, NY, 11740
�
3.8
(5 Reviews)"
Hastings High School,https://www.greatschools.org/new-york/hastings_on_hudson/1092-Hastings-High-School/,"1 MT HOPE BLVD, Hastings-on-Hudson, NY, 10706
�
3
(3 Reviews)"
Herricks High School,https://www.greatschools.org/new-york/new-hyde-park/1132-Herricks-High-School/,"100 Shelter Rock Road, New Hyde Park, NY, 11040
�
4.5
(4 Reviews)"
Jericho Senior High School,https://www.greatschools.org/new-york/glen-head/1306-Jericho-Senior-High-School/,"99 CEDAR SWAMP RD, Jericho, NY, 11753
�
3.7
(11 Reviews)"
University Heights Secondary School-Bronx Community College,https://www.greatschools.org/new-york/bronx/13457-University-Heights-Secondary-School-Bronx-Community-College/,"701 ST ANNS AVE, The Bronx, NY, 10455
�
3.7
(3 Reviews)"
Millennium Brooklyn High School,https://www.greatschools.org/new-york/brooklyn/13635-Millennium-Brooklyn-High-School/,"237 7th Avenue, Brooklyn, NY, 11215
�
5
(7 Reviews)"
Success Acad Charter School-Manhattan 3,https://www.greatschools.org/new-york/bronx/14186-Success-Acad-Charter-School-Manhattan-3/,"1000 TELLER AVE-3RD FL, The Bronx, NY, 10469"
